start	end	text
0	1760	Now, welcome the candidates to the stage.
1760	4800	Vice President Kamala Harris and President Donald Trump.
12400	14320	Kamala Harris, is that a good debate?
14320	15360	Yes, you see. Have fun.
15360	17280	Thank you.
17280	18200	Welcome to you both.
18200	19160	It's wonderful to have you.
19160	20800	It's an honor to have you both here tonight.
20800	21520	Good evening.
21520	24840	We are looking forward to a spirited and thoughtful debate.
24840	26080	So let's get started.
26080	27520	I want to begin tonight with the issue
27520	29800	that voters repeatedly say is their number one
30160	32320	issue, and that is the economy and the cost of living
32320	33520	in this country.
33520	35360	Vice President Harris, you and President Trump
35360	37280	were elected four years ago, and your opponent
37280	40520	on the stage here tonight often asks his supporters,
40520	43280	are you better off than you were four years ago?
43280	45680	When it comes to the economy, do you believe Americans
45680	48160	are better off than they were four years ago?
48160	52240	So I was raised as a middle-class kid,
52240	55040	and I am actually the only person on this stage
55040	57920	who has a plan that is about lifting up the middle class
57920	59920	and working people of America.
59920	63080	I believe in the ambition, the aspirations,
63080	65240	the dreams of the American people.
65240	68320	And that is why I imagine and have actually a plan
68320	71120	to build what I call an opportunity economy.
71120	72440	Because here's the thing.
72440	76480	We know that we have a shortage of homes and housing,
76480	78720	and the cost of housing is too expensive for our
78720	79960	too many people.
79960	82480	We know that young families need support
83200	86440	to raise their children, and I intend on extending
86440	89720	a tax cut for those families of $6,000,
89720	92200	which is the largest child tax credit
92200	93960	that we have given in a long time,
93960	97320	so that those young families can afford to buy a crib,
97320	100560	buy a car seat, buy clothes for their children.
100560	104200	My passion, one of them, is small businesses.
104200	107240	I was actually, my mother raised my sister and me,
107240	109080	but there was a woman who helped raise us.
109080	110520	We call her our second mother.
110520	111840	She was a small business owner.
111840	113920	I love our small businesses.
113920	118080	My plan is to give a $50,000 tax deduction
118080	120080	to start-up small businesses,
120080	123640	knowing they are part of the backbone of America's economy.
123640	125200	My opponent, on the other hand,
125200	128200	his plan is to do what he has done before,
128200	131000	which is to provide a tax cut for billionaires
131000	133720	and big corporations, which will result
133720	136640	in $5 trillion to America's deficit.
136640	140200	My opponent has a plan that I call the Trump's sales tax,
140200	144120	which would be a 20% tax on everyday goods
144120	147320	that you rely on to get through the month.
147320	150440	Economists have said that that Trump sales tax
150440	153320	would actually result for middle-class families
153320	156760	in about $4,000 more a year,
156760	160000	because of his policies and his ideas
160000	163960	about what should be the backs of middle-class people
163960	167080	paying for tax cuts for billionaires.
167080	168840	President Trump, I'll give you two minutes.
168880	170720	First of all, I have no sales tax.
170720	171920	That's an incorrect statement.
171920	175080	She knows that we're doing tariffs on other countries.
175080	178560	Other countries are going to finally, after 75 years,
178560	181520	pay us back for all that we've done for the world,
181520	184880	and the tariff will be substantial in some cases.
184880	186880	I took in billions and billions of dollars,
186880	188360	as you know, from China.
188360	190000	In fact, they never took the tariff off
190000	192040	because it was so much money they can't.
192040	193880	They would totally destroy everything
193880	195320	that they've set out to do.
195320	197360	They're taking in billions of dollars from China
197360	199720	and other places they've left the tariffs on.
199720	203240	When I had it, I had tariffs, and yet I had no inflation.
203240	205880	Look, we've had a terrible economy
